iter	Passed	Remaining
238	606	1930
239	607	1923
240	608	1916
241	609	1908
242	610	1901
243	611	1894
244	612	1888
245	613	1881
246	614	1874
247	615	1867
248	616	1860
249	617	1853
250	618	1846
251	619	1839
252	620	1833
253	621	1826
254	622	1819
255	623	1813
256	625	1807
257	626	1800
258	627	1794
259	628	1788
260	629	1782
261	630	1775
262	631	1769
263	632	1763
264	633	1757
265	634	1751
266	635	1744
267	636	1738
268	637	1732
269	638	1726
270	639	1720
271	640	1714
272	641	1708
273	642	1703
274	643	1697
275	644	1691
276	645	1685
277	646	1679
278	647	1674
279	648	1668
280	649	1663
281	651	1657
282	652	1651
283	653	1646
284	654	1641
285	655	1635
286	656	1630
287	657	1626
288	658	1620
289	659	1615
290	660	1610
291	661	1604
292	662	1599
293	664	1594
294	665	1589
295	666	1584
296	667	1579
297	668	1574
298	669	1569
299	670	1563
300	671	1558
301	672	1554
302	673	1549
303	674	1544
304	675	1539
305	676	1534
306	677	1529
307	678	1524
308	679	1520
309	680	1515
310	681	1510
311	682	1506
312	684	1501
313	685	1496
314	686	1492
315	687	1488
316	688	1483
317	689	1478
318	690	1474
319	691	1469
320	692	1464
321	693	1460
322	694	1455
323	695	1451
324	696	1446
325	697	1442
326	698	1438
327	700	1434
328	701	1430
329	702	1426
330	703	1422
331	705	1418
332	706	1415
333	707	1411
334	708	1407
335	710	1403
336	711	1399
337	712	1394
338	713	1390
339	714	1386
340	715	1382
341	716	1378
342	717	1375
343	719	1371
344	720	1367
345	721	1363
346	722	1360
347	724	1356
348	725	1352
349	726	1348
350	727	1344
351	728	1340
352	729	1336
353	730	1332
354	731	1329
355	732	1325
356	733	1321
357	734	1317
358	735	1313
359	736	1309
360	737	1305
361	738	1301
362	739	1297
363	740	1294
364	741	1290
365	742	1286
366	744	1283
367	745	1280
368	746	1276
369	747	1273
370	748	1269
371	749	1266
372	751	1262
373	752	1258
374	753	1255
375	754	1251
376	755	1248
377	756	1244
378	757	1241
379	758	1237
380	759	1233
381	760	1230
382	761	1226
383	762	1223
384	763	1219
385	764	1216
386	765	1212
387	766	1209
388	767	1206
389	768	1202
390	769	1199
391	770	1195
392	772	1192
393	773	1189
394	774	1185
395	775	1182
396	776	1179
397	777	1175
398	778	1172
399	779	1169
400	780	1165
401	781	1162
402	782	1159
403	783	1155
404	784	1152
405	785	1149
406	786	1146
407	787	1142
408	788	1139
409	789	1136
410	790	1133
411	791	1130
412	792	1126
413	793	1123
414	795	1120
415	796	1117
416	797	1114
417	798	1111
418	799	1108
419	800	1105
420	801	1102
421	802	1099
422	803	1096
423	804	1093
424	805	1090
425	806	1087
426	807	1084
427	808	1081
428	810	1078
429	811	1075
430	812	1072
431	813	1069
432	814	1066
433	815	1063
434	816	1060
435	817	1057
436	818	1054
437	819	1051
438	820	1048
439	821	1045
440	822	1042
441	823	1040
442	824	1037
443	825	1034
444	826	1031
445	827	1028
446	828	1025
447	829	1022
448	831	1019
449	832	1016
450	833	1014
451	834	1011
452	835	1008
453	836	1006
454	837	1003
455	838	1000
456	840	998
457	841	995
458	842	992
459	843	990
460	844	987
461	845	984
462	846	982
463	847	979
464	848	976
465	849	974
466	851	971
467	852	968
468	853	965
469	854	963
470	855	960
471	856	957
472	857	955
473	858	952
474	859	950
475	860	947
476	861	944
477	862	942
478	863	939
479	865	937
480	866	934
481	867	932
482	868	929
483	869	927
484	870	924
485	871	922
486	872	919
487	873	916
488	874	914
489	875	911
490	876	909
491	877	906
492	879	904
493	880	901
494	881	899
495	882	896
496	883	894
497	884	891
498	885	889
499	886	886
500	887	884
501	888	881
502	889	879
503	890	876
504	891	874
505	892	871
506	893	869
507	895	866
508	896	864
509	897	861
510	898	859
511	899	857
512	900	854
513	901	852
514	902	849
515	903	847
516	904	845
517	905	842
518	906	840
519	907	838
520	909	836
521	910	833
522	911	831
523	912	829
524	913	826
525	914	824
526	915	822
527	916	819
528	917	817
529	918	814
530	919	812
531	921	810
532	922	807
533	923	805
534	924	803
535	925	800
536	926	798
537	927	796
538	928	794
539	929	791
540	930	789
541	931	787
542	932	784
543	933	782
544	934	780
545	935	777
546	936	775
547	937	773
548	938	771
549	940	769
550	941	766
551	942	764
552	943	762
553	944	760
554	945	757
555	946	755
556	947	753
557	948	751
558	949	748
559	950	746
560	951	744
561	952	742
562	953	739
563	954	737
564	955	735
565	956	733
566	957	731
567	958	729
568	959	726
569	960	724
570	961	722
571	962	720
572	963	718
573	964	715
574	965	713
575	966	711
576	967	709
577	968	707
578	970	705
579	971	703
580	972	701
581	973	698
582	974	696
583	975	694
584	976	692
585	977	690
586	978	688
587	979	686
588	980	684
589	981	682
590	982	679
591	983	677
592	984	675
593	985	673
594	986	671
595	987	669
596	988	667
597	989	665
598	990	663
599	991	661
600	992	659
601	994	657
602	995	655
603	996	653
604	997	650
605	998	648
606	999	646
607	1000	644
608	1001	642
609	1002	640
610	1003	638
611	1004	636
612	1005	634
613	1006	632
614	1007	630
615	1008	628
616	1009	626
617	1010	624
618	1011	622
619	1012	620
620	1013	618
621	1014	616
622	1015	614
623	1016	612
624	1017	610
625	1018	608
626	1019	606
627	1020	604
628	1021	602
629	1022	600
630	1024	598
631	1025	596
632	1026	594
633	1027	592
634	1028	590
635	1029	589
636	1030	587
637	1031	585
638	1032	583
639	1033	581
640	1034	579
641	1035	577
642	1036	575
643	1037	573
644	1038	571
645	1039	569
646	1040	567
647	1041	565
648	1042	563
649	1043	561
650	1044	560
651	1045	558
652	1046	556
653	1047	554
654	1048	552
655	1049	550
656	1050	548
657	1051	546
658	1052	544
659	1053	542
660	1055	541
661	1056	539
662	1057	537
663	1058	535
664	1059	533
665	1060	531
666	1061	529
667	1062	528
668	1063	526
669	1064	524
670	1065	522
671	1066	520
672	1067	518
673	1068	516
674	1069	515
675	1071	513
676	1072	511
677	1073	509
678	1074	507
679	1075	505
680	1076	504
681	1077	502
682	1078	500
683	1079	498
684	1080	496
685	1081	494
686	1082	493
687	1083	491
688	1084	489
689	1085	487
690	1086	485
691	1087	484
692	1088	482
693	1089	480
694	1090	478
695	1092	476
696	1093	475
697	1094	473
698	1095	471
699	1096	469
700	1097	467
701	1098	466
702	1099	464
703	1101	462
704	1102	461
705	1102	459
706	1103	457
707	1104	455
708	1106	453
709	1107	452
710	1108	450
711	1109	448
712	1110	446
713	1111	445
714	1112	443
715	1113	441
716	1114	439
717	1115	438
718	1116	436
719	1117	434
720	1118	432
721	1119	431
722	1120	429
723	1121	427
724	1122	425
725	1123	424
726	1124	422
727	1126	420
728	1127	419
729	1128	417
730	1129	415
731	1130	413
732	1131	412
733	1132	410
734	1133	408
735	1134	407
736	1136	405
737	1137	403
738	1138	401
739	1139	400
740	1140	398
741	1141	396
742	1142	395
743	1143	393
744	1144	391
745	1145	390
746	1146	388
747	1147	386
748	1148	384
749	1149	383
750	1150	381
751	1151	379
752	1152	378
753	1153	376
754	1155	374
755	1156	373
756	1157	371
757	1158	369
758	1159	368
759	1160	366
760	1161	364
761	1162	363
762	1163	361
763	1164	359
764	1165	358
765	1166	356
766	1167	354
767	1168	353
768	1169	351
769	1170	349
770	1171	348
771	1172	346
772	1174	344
773	1175	343
774	1176	341
775	1177	339
776	1178	338
777	1179	336
778	1180	334
779	1181	333
780	1182	331
781	1183	329
782	1184	328
783	1185	326
784	1186	325
785	1187	323
786	1189	321
787	1190	320
788	1191	318
789	1192	316
790	1193	315
791	1194	313
792	1195	312
793	1196	310
794	1197	308
795	1198	307
796	1199	305
797	1200	303
798	1201	302
799	1202	300
800	1204	299
801	1205	297
802	1206	295
803	1207	294
804	1208	292
805	1209	291
806	1210	289
807	1211	287
808	1212	286
809	1213	284
810	1214	283
811	1215	281
812	1216	279
813	1217	278
814	1218	276
815	1219	275
816	1220	273
817	1221	271
818	1222	270
819	1223	268
820	1224	267
821	1226	265
822	1227	263
823	1228	262
824	1229	260
825	1230	259
826	1231	257
827	1232	256
828	1233	254
829	1234	252
830	1235	251
831	1236	249
832	1237	248
833	1239	246
834	1240	245
835	1241	243
836	1242	241
837	1243	240
838	1244	238
839	1245	237
840	1246	235
841	1247	234
842	1248	232
843	1249	230
844	1250	229
845	1251	227
846	1252	226
847	1253	224
848	1255	223
849	1256	221
850	1257	220
851	1258	218
852	1259	217
853	1260	215
854	1261	213
855	1262	212
856	1263	210
857	1264	209
858	1265	207
859	1266	206
860	1267	204
861	1268	203
862	1269	201
863	1271	200
864	1272	198
865	1273	197
866	1274	195
867	1275	193
868	1276	192
869	1277	190
870	1278	189
871	1279	187
872	1280	186
873	1281	184
874	1282	183
875	1283	181
876	1284	180
877	1285	178
878	1286	177
879	1287	175
880	1288	174
881	1289	172
882	1290	171
883	1292	169
884	1293	168
885	1294	166
886	1295	165
887	1296	163
888	1297	162
889	1298	160
890	1299	158
891	1300	157
892	1301	155
893	1302	154
894	1303	152
895	1304	151
896	1305	149
897	1306	148
898	1308	146
899	1309	145
900	1310	143
901	1311	142
902	1312	140
903	1313	139
904	1314	137
905	1315	136
906	1316	134
907	1317	133
908	1318	132
909	1319	130
910	1320	129
911	1321	127
912	1322	126
913	1323	124
914	1324	123
915	1325	121
916	1327	120
917	1328	118
918	1329	117
919	1330	115
920	1331	114
921	1332	112
922	1333	111
923	1334	109
924	1335	108
925	1336	106
926	1337	105
927	1338	103
928	1339	102
929	1340	100
930	1341	99
931	1343	97
932	1344	96
933	1345	95
934	1346	93
935	1347	92
936	1348	90
937	1349	89
938	1350	87
939	1351	86
940	1352	84
941	1353	83
942	1354	81
943	1355	80
944	1356	78
945	1357	77
946	1358	76
947	1359	74
948	1360	73
949	1361	71
950	1362	70
951	1363	68
952	1364	67
953	1365	65
954	1366	64
955	1367	62
956	1369	61
957	1370	60
958	1371	58
959	1372	57
960	1373	55
961	1374	54
962	1375	52
963	1376	51
964	1377	49
965	1378	48
966	1379	47
967	1380	45
968	1381	44
969	1382	42
970	1383	41
971	1384	39
972	1385	38
973	1387	37
974	1388	35
975	1389	34
976	1390	32
977	1391	31
978	1392	29
979	1393	28
980	1394	27
981	1395	25
982	1396	24
983	1397	22
984	1399	21
985	1400	19
986	1401	18
987	1402	17
988	1403	15
989	1404	14
990	1405	12
991	1406	11
992	1407	9
993	1409	8
994	1410	7
995	1411	5
996	1412	4
997	1413	2
998	1414	1
999	1415	0
